Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet
2013-12-31,0.006887253,-0.000601773,0.004024468
2014-01-02,-0.009671764,-0.00610471,-0.008716397
2014-01-03,0.001613185,0.001419128,-0.0003073
2014-01-06,-0.000670468,-0.002304666,-0.002495678
2014-01-07,0.006357363,0.004942373,0.006093096
2014-01-08,0.001178231,-0.00132058,8.79467E-05
2014-01-09,0.004324888,0.003484463,0.000342659
2014-01-10,0.004152139,0.006813561,0.002309882
2014-01-13,-0.017870635,-0.005215209,-0.012466392
2014-01-14,0.012508286,0.008557131,0.010822995
2014-01-15,0.001945638,0.003292638,0.005192979
2014-01-16,-0.003895323,0.003903498,-0.001323186
2014-01-17,-0.005046501,-0.008742204,-0.003878238
2014-01-21,0.000777862,0.004311318,0.002796538
2014-01-22,-0.000631276,0.003134873,0.000694919
2014-01-23,-0.010556084,-0.007633503,-0.008876704
2014-01-24,-0.029766091,-0.014836925,-0.020870397
2014-01-27,-0.003082381,-0.003240148,-0.004841123
2014-01-28,0.008707353,0.006857659,0.006140244
2014-01-29,-0.006845185,-0.004812335,-0.010101889
2014-01-30,0.008727898,0.00913087,0.011325611
2014-01-31,-0.004160815,0.002216509,-0.00646537
2014-02-03,-0.028076242,-0.016354867,-0.022830722
2014-02-04,0.012032849,0.004167207,0.007695333
2014-02-05,-0.000211155,-0.000567914,-0.001729094
2014-02-06,0.01344346,0.011266658,0.012954117
2014-02-07,0.012818429,0.012745692,0.013299867
2014-02-10,-0.000681875,0.000886299,0.001594605
2014-02-11,0.00860079,0.009794407,0.01111355
2014-02-12,0.002478835,0.001711416,0.000223191
2014-02-13,0.004320185,0.005713468,0.005914772
2014-02-14,0.001229786,0.006759107,0.004892398
2014-02-18,0.003241566,-0.0001542,0.001315423
2014-02-19,-0.005622374,-0.002310471,-0.006474857
2014-02-20,0.004990282,0.007235342,0.006213087
2014-02-21,-0.000377117,0.002367398,-0.001785353
2014-02-24,0.010926726,0.001446002,0.006197872
2014-02-25,-0.003869366,-0.0016382,-0.00132638
