Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet,longHT_shortLT
12/31/2013,0.006887253,-0.000601773,0.004024468,-0.007489026
1/2/2014,-0.009671764,-0.00610471,-0.008716397,0.003567054
1/3/2014,0.001613185,0.001419128,-0.0003073,-0.000194057
1/6/2014,-0.000670468,-0.002304666,-0.002495678,-0.001634198
1/7/2014,0.006357363,0.004942373,0.006093096,-0.00141499
1/8/2014,0.001178231,-0.00132058,8.79E-05,-0.002498811
1/9/2014,0.004324888,0.003484463,0.000342659,-0.000840425
1/10/2014,0.004152139,0.006813561,0.002309882,0.002661422
1/13/2014,-0.017870635,-0.005215209,-0.012466392,0.012655426
1/14/2014,0.012508286,0.008557131,0.010822995,-0.003951155
1/15/2014,0.001945638,0.003292638,0.005192979,0.001347
1/16/2014,-0.003895323,0.003903498,-0.001323186,0.007798821
1/17/2014,-0.005046501,-0.008742204,-0.003878238,-0.003695703
1/21/2014,0.000777862,0.004311318,0.002796538,0.003533456
1/22/2014,-0.000631276,0.003134873,0.000694919,0.003766149
1/23/2014,-0.010556084,-0.007633503,-0.008876704,0.002922581
1/24/2014,-0.029766091,-0.014836925,-0.020870397,0.014929166
1/27/2014,-0.003082381,-0.003240148,-0.004841123,-0.000157767
1/28/2014,0.008707353,0.006857659,0.006140244,-0.001849694
1/29/2014,-0.006845185,-0.004812335,-0.010101889,0.00203285
1/30/2014,0.008727898,0.00913087,0.011325611,0.000402972
1/31/2014,-0.004160815,0.002216509,-0.00646537,0.006377324
2/3/2014,-0.028076242,-0.016354867,-0.022830722,0.011721375
2/4/2014,0.012032849,0.004167207,0.007695333,-0.007865642
2/5/2014,-0.000211155,-0.000567914,-0.001729094,-0.000356759
2/6/2014,0.01344346,0.011266658,0.012954117,-0.002176802
2/7/2014,0.012818429,0.012745692,0.013299867,-7.2737E-05
2/10/2014,-0.000681875,0.000886299,0.001594605,0.001568174
2/11/2014,0.00860079,0.009794407,0.01111355,0.001193617
2/12/2014,0.002478835,0.001711416,0.000223191,-0.000767419
2/13/2014,0.004320185,0.005713468,0.005914772,0.001393283
2/14/2014,0.001229786,0.006759107,0.004892398,0.005529321
2/18/2014,0.003241566,-0.0001542,0.001315423,-0.003395766
2/19/2014,-0.005622374,-0.002310471,-0.006474857,0.003311903
2/20/2014,0.004990282,0.007235342,0.006213087,0.00224506
2/21/2014,-0.000377117,0.002367398,-0.001785353,0.002744515
2/24/2014,0.010926726,0.001446002,0.006197872,-0.009480724
2/25/2014,-0.003869366,-0.0016382,-0.00132638,0.002231166
2/26/2014,0.000959026,0.000602733,0.000216839,-0.000356293
2/27/2014,0.00340564,0.001875388,0.005088599,-0.001530252
2/28/2014,0.00118803,0.003533793,0.002795045,0.002345763
3/3/2014,-0.005365565,-0.004527769,-0.007328119,0.000837796
3/4/2014,0.017426693,0.012553037,0.015285072,-0.004873656
3/5/2014,-0.003006945,-0.002184651,0.000136351,0.000822294
3/6/2014,0.002807544,0.000384784,0.001893838,-0.00242276
3/7/2014,-0.001571998,-0.001044238,0.000615295,0.00052776
3/10/2014,-0.001064612,-0.001913838,-0.000399105,-0.000849226
3/11/2014,-0.004045602,-0.001977802,-0.005042559,0.0020678
3/12/2014,-0.002294871,0.002410317,0.000564775,0.004705188
3/13/2014,-0.012637576,-0.007226841,-0.011574329,0.005410735
3/14/2014,-0.003645302,-0.00036016,-0.002795219,0.003285142
3/17/2014,0.009920267,0.008454954,0.009614776,-0.001465313
3/18/2014,0.006922864,0.00392171,0.007245403,-0.003001154
3/19/2014,-0.003269791,-0.009127619,-0.006132224,-0.005857828
3/20/2014,0.001603293,0.009621617,0.006056738,0.008018324
3/21/2014,-0.000725289,0.000392687,-0.002928622,0.001117976
3/24/2014,-0.006154337,-0.00336192,-0.004863663,0.002792417
3/25/2014,0.001290265,0.006976132,0.004505043,0.005685867
3/26/2014,-0.005485446,-0.002801223,-0.006971128,0.002684223
3/27/2014,-0.000391633,0.001298912,-0.001728062,0.001690545
3/28/2014,0.010321113,0.001383904,0.004680145,-0.008937209
3/31/2014,0.009671189,0.008928028,0.007966962,-0.000743161
4/1/2014,0.00355574,0.003680405,0.007110037,0.000124665
4/2/2014,0.002922286,0.003284557,0.003026907,0.000362271
4/3/2014,-0.000567191,0.002722954,-0.001114435,0.003290145
4/4/2014,-0.012462116,-0.003806531,-0.012504404,0.008655585
4/7/2014,-0.02026451,-0.003139912,-0.010745047,0.017124598
4/8/2014,0.006275304,0.008780956,0.004078419,0.002505652
4/9/2014,0.012858107,-0.000141928,0.011006214,-0.013000035
